date,cell,experiment,level_3,time,Length,flow,stage,length_diff,neurite,speed,exclude
171013,5,9,135,9.5,25.64452,3.9842,2.5,-13.78564,short,0.419389474,FALSE
171018,5,1,705,21,43.58772,0,2,-2.98936,short,0,FALSE
171018,5,1,707,20,38.39,-0.91872,2,-8.18708,short,-0.045936,FALSE
171018,8,1,699,9.5,95.10644,0.90552,3,0,long,0.095317895,FALSE
171018,8,1,701,9.5,21.47244,2.12212,3,-73.634,short,0.223381053,FALSE
171027,0,1,325,3,12.44892,3.4364,2,-2.85912,short,1.145466667,FALSE
171027,0,1,327,5,15.30804,4.422,2,0,short,0.8844,FALSE
171027,1,1,321,9,54.2102,1.32,3,0,long,0.146666667,FALSE
171027,1,1,323,5.5,29.57944,3.9842,3,-24.63076,short,0.7244,FALSE
171027,2,1,319,5.5,9.37816,2.95152,2,-9.592,short,0.53664,TRUE
171027,3,1,315,6,12.87088,4.93504,2,0,short,0.822506667,FALSE
171027,3,1,317,5.5,11.13112,5.90304,2,-1.73976,short,1.07328,FALSE
171027,4,1,294,9,13.24356,4.5694,2,-4.9346,short,0.507711111,FALSE
171027,4,1,296,3.5,9.65536,3.2032,2,-8.5228,short,0.9152,FALSE
171027,5,1,313,7,19.97688,7.58824,2,0,short,1.084034286,FALSE
171027,6,1,309,9.5,65.2586,0.98384,3,0,long,0.103562105,FALSE
171027,6,1,311,9,24.76936,2.48908,3,-40.48924,short,0.276564444,FALSE
171027,7,1,305,1.5,11.26664,2.24356,3,-41.54612,short,1.495706667,FALSE
171027,7,1,307,9.5,52.81276,4.44796,3,0,long,0.468206316,FALSE
171027,8,1,302,3,40.9288,1.76,2.5,0,long,0.586666667,FALSE
171027,9,1,298,5.5,61.13624,1.86384,3,0,long,0.33888,FALSE
171027,9,1,300,9.5,33.77748,1.96768,3,-27.35876,short,0.207124211,FALSE
171027,10,1,288,9.5,5.73672,3.15128,2,-4.40924,short,0.331713684,TRUE
171027,11,1,276,8,19.53556,4.27152,2,0,short,0.53394,FALSE
171027,11,1,278,7,8.90912,6.57668,2,-10.62644,short,0.939525714,FALSE
171027,12,1,290,5,34.4366,4.15228,2,-0.87692,short,0.830456,TRUE
171027,12,1,292,9.5,35.31352,6.70208,2,0,short,0.705482105,TRUE
171027,13,1,284,9.5,11.9042,7.91164,2,0,short,0.832804211,TRUE
171027,13,1,286,9.5,8.29664,5.81284,2,-3.60756,short,0.611877895,TRUE
171027,1,2,282,4,11.74052,4.75068,,0,long,1.18767,
171027,2,2,280,3.5,20.92244,3.34664,,0,long,0.956182857,
171027,3,2,272,9.5,12.32,2.95152,2,0,short,0.310686316,FALSE
171027,3,2,274,9.5,12.2188,4.3692,2,-0.1012,short,0.459915789,FALSE
171027,4,2,268,18,20.61312,0,2,0,short,0,FALSE
171027,4,2,270,9,11.10384,2.3694,2,-9.50928,short,0.263266667,FALSE
171027,5,2,264,9.5,17.67128,5.38824,2,-1.25224,short,0.567183158,FALSE
171027,5,2,266,7.5,18.92352,11.30052,2,0,short,1.506736,FALSE
171027,6,2,261,4,26.84616,0,2,0,short,0,FALSE
171027,7,2,257,9.5,11.73172,2.56564,2,0,short,0.270067368,FALSE
171027,7,2,259,9.5,8.0894,2.56564,2,-3.64232,short,0.270067368,FALSE
171027,8,2,255,3,30.53556,3.35104,,0,long,1.117013333,
171027,9,2,251,2,15.27504,2.84768,2,0,short,1.42384,TRUE
171027,9,2,253,9.5,13.6818,3.57412,2,-1.59324,short,0.376223158,TRUE
171027,11,2,247,9,23.65044,6.03636,2.5,-17.60132,short,0.670706667,FALSE
171027,11,2,249,9.5,41.25176,2.90664,2.5,0,long,0.305962105,FALSE
171027,12,2,245,7.5,19.39828,7.28552,2,0,short,0.971402667,FALSE
171027,13,2,329,9.5,6.22248,3.08,2,-2.37468,short,0.324210526,FALSE
171103,0,1,369,18,47.22212,0,2.5,0,long,0,FALSE
171103,0,1,371,8,26.5012,5.5132,2.5,-20.72092,short,0.68915,FALSE
171103,4,1,375,9.5,53.69804,4.33356,2.5,-3.58116,short,0.456164211,FALSE
171103,4,1,695,4,57.2792,2.72932,2.5,0,long,0.68233,FALSE
171103,4,1,697,5.5,18.51784,2.56432,2.5,-38.76136,short,0.46624,FALSE
171103,6,1,373,3.5,27.05824,2.2,2,-3.90676,short,0.628571429,FALSE
171103,7,1,365,9.5,18.26,5.19508,2,-8.5008,short,0.546850526,FALSE
171103,7,1,367,3.5,26.7608,2.64,2,0,short,0.754285714,FALSE
171103,8,1,363,4,36.8412,2.3694,2.5,0,long,0.59235,FALSE
171103,9,1,359,7,54.1398,4.68424,3,0,long,0.669177143,FALSE
171103,9,1,361,3,10.95116,3.11124,3,-43.18864,short,1.03708,FALSE
171103,10,1,355,7,39.70076,4.76564,2.5,0,long,0.680805714,FALSE
171103,10,1,357,4,14.04524,1.81412,2.5,-25.65552,short,0.45353,FALSE
171103,13,1,353,5.5,23.05116,4.48712,2,0,short,0.81584,FALSE
171103,0,2,351,9.5,19.503,3.4364,,0,long,0.361726316,
171103,1,2,347,9.5,39.721,1.32,2.5,0,long,0.138947368,FALSE
171103,1,2,349,9.5,17.9234,3.17284,2.5,-21.7976,short,0.333983158,FALSE
171103,2,2,343,2,30.2522,1.96768,2.5,-13.85516,short,0.98384,FALSE
171103,2,2,345,9.5,44.10736,5.01688,2.5,0,long,0.528092632,FALSE
171103,3,2,339,9.5,9.47936,3.68104,3,-66.14256,short,0.387477895,TRUE
171103,3,2,341,6,75.62192,1.81412,3,0,long,0.302353333,TRUE
171103,4,2,335,9.5,41.7692,3.96,2.5,0,long,0.416842105,FALSE
171103,4,2,337,7,11.43868,5.81328,2.5,-30.33052,short,0.830468571,FALSE
171103,5,2,331,5.5,27.22324,7.3238,2,-2.0526,short,1.3316,FALSE
171103,5,2,333,8.5,21.51424,3.54728,2,-7.7616,short,0.417327059,FALSE
171103,6,2,433,6,29.2996,7.16276,2,0,short,1.193793333,FALSE
171103,6,2,435,4.5,22.14476,3.17284,2,-7.15484,short,0.705075556,FALSE
171103,7,2,429,2,7.28332,3.2032,2,-2.2352,short,1.6016,FALSE
171103,7,2,431,4.5,9.51852,2.81732,2,0,short,0.626071111,FALSE
171103,8,2,425,9.5,20.16036,6.82748,2.5,-24.73592,short,0.718682105,FALSE
171103,8,2,427,9.5,44.89628,1.81412,2.5,0,long,0.19096,FALSE
171103,10,2,421,7,23.01816,2.81732,2,-1.29888,short,0.402474286,FALSE
171103,10,2,423,9.5,24.31704,3.35104,2,0,short,0.352741053,FALSE
171103,11,2,417,9.5,24.77728,4.7388,2,-5.0182,short,0.498821053,FALSE
171103,11,2,419,9.5,29.79548,0.88,2,0,short,0.092631579,FALSE
171103,13,2,413,9.5,21.38092,-0.3278,3,-39.90712,short,-0.034505263,FALSE
171103,13,2,415,8,61.28804,0,3,0,long,0,FALSE
171103,1,3,409,9.5,28.14988,7.35416,2,-3.61328,short,0.774122105,TRUE
171103,1,3,411,8,31.76316,4.6772,2,0,short,0.58465,TRUE
171103,3,3,405,9,35.5586,2.56564,2.5,-6.6506,short,0.285071111,FALSE
171103,3,3,407,9.5,42.2092,2.56564,2.5,0,long,0.270067368,FALSE
171103,5,3,401,8.5,23.43704,2.783,2,-2.95504,short,0.327411765,FALSE
171103,5,3,403,4,26.39208,4.88532,2,0,short,1.22133,FALSE
171103,6,3,397,9.5,28.80944,8.93068,3,-22.48752,short,0.940071579,FALSE
171103,6,3,399,18,51.29696,0,3,0,long,0,FALSE
171103,7,3,393,9.5,14.43816,2.67652,2,-1.67596,short,0.281738947,TRUE
171103,7,3,395,6,16.11412,3.08,2,0,short,0.513333333,TRUE
171103,8,3,389,8,34.9756,5.4142,2.5,0,long,0.676775,FALSE
171103,8,3,391,9.5,19.40796,5.48064,2.5,-15.56764,short,0.576909474,FALSE
171103,9,3,385,8,28.6374,3.95604,2,-3.2208,short,0.494505,TRUE
171103,9,3,387,7.5,31.8582,4.3692,2,0,short,0.58256,TRUE
171103,10,3,381,6,30.62356,10.14728,2.5,0,long,1.691213333,FALSE
171103,10,3,383,6.5,16.03932,6.17584,2.5,-14.58424,short,0.950129231,FALSE
171103,11,3,377,3.5,56.87528,2.30384,3,0,long,0.65824,TRUE
171103,11,3,379,9.5,10.98152,4.01412,3,-45.89376,short,0.422538947,TRUE
171107,0,7,543,9.5,39.73288,1.76,2.5,0,long,0.185263158,FALSE
171107,0,7,545,9.5,25.8896,6.98236,2.5,-13.84328,short,0.734985263,FALSE
171107,1,7,541,5.5,36.50812,1.58664,2,-1.00188,short,0.28848,FALSE
171107,1,7,690,4,34.49292,1.33936,2,-3.01708,short,0.33484,FALSE
171107,1,7,692,7.5,37.51,0.682,2,0,short,0.090933333,FALSE
171107,2,7,537,1.5,54.23924,0,3,0,long,0,TRUE
171107,2,7,539,9.5,17.62684,3.78664,3,-36.6124,short,0.398593684,TRUE
171107,4,7,533,3.5,46.9788,1.81412,2.5,0,long,0.51832,FALSE
171107,4,7,535,5.5,23.33804,1.81412,2.5,-23.64076,short,0.32984,FALSE
171107,5,7,531,9.5,17.57492,7.10248,2,-8.118,short,0.747629474,FALSE
171107,6,7,529,9.5,12.52944,2.783,2,-2.43276,short,0.292947368,TRUE
171107,7,7,517,9.5,45.68476,1.39128,2.5,0,long,0.146450526,FALSE
171107,7,7,519,9.5,13.59556,3.4364,2.5,-32.0892,short,0.361726316,FALSE
171107,8,7,525,6.5,23.50172,0.98384,2,-5.56556,short,0.15136,TRUE
171107,8,7,527,7,17.6462,0,2,-11.42108,short,0,TRUE
171107,9,7,521,9.5,18.61508,5.1502,2,-7.095,short,0.542126316,FALSE
171107,9,7,523,9.5,14.1416,3.96,2,-11.56848,short,0.416842105,FALSE
171107,10,7,513,5,17.68448,2.95152,2.5,-22.77924,short,0.590304,FALSE
171107,10,7,515,3.5,40.46372,2.56564,2.5,0,long,0.73304,FALSE
171107,11,7,509,9,13.49744,2.3694,2.5,-27.71868,short,0.263266667,FALSE
171107,11,7,511,9.5,41.21612,2.67652,2.5,0,long,0.281738947,FALSE
171107,12,7,505,18,56.90608,0,3,0,long,0,FALSE
171107,12,7,507,6,25.168,1.83128,3,-31.73808,short,0.305213333,FALSE
171107,13,7,501,9.5,21.04696,2.2,2.5,-13.57092,short,0.231578947,FALSE
171107,13,7,503,18,34.61788,0,2.5,0,long,0,FALSE
171107,1,8,497,9.5,20.48376,0.44,2,-3.02192,short,0.046315789,FALSE
171107,1,8,499,9.5,23.50568,0.62216,2,0,short,0.065490526,FALSE
171107,3,8,495,9.5,17.36328,2.56564,2,-0.64768,short,0.270067368,FALSE
171107,4,8,491,9.5,49.4186,1.58664,2.5,0,long,0.167014737,FALSE
171107,4,8,493,8.5,29.249,5.45908,2.5,-20.1696,short,0.642244706,FALSE
171107,5,8,487,18,43.64272,0,2.5,0,long,0,FALSE
171107,5,8,489,4.5,28.07464,3.17284,2.5,-15.56808,short,0.705075556,FALSE
171107,8,8,483,9.5,27.25536,5.31652,2.5,-9.07588,short,0.559633684,FALSE
171107,8,8,485,3.5,36.33124,1.58664,2.5,0,long,0.453325714,FALSE
171107,9,8,481,9,18.85444,5.91976,2,-2.7698,short,0.657751111,FALSE
171107,10,8,477,9.5,22.56188,2.64,2,-7.3106,short,0.277894737,FALSE
171107,10,8,479,9.5,21.46232,0.98384,2,-8.41016,short,0.103562105,FALSE
171107,12,8,473,9.5,11.84744,0.88,2,-16.28572,short,0.092631579,TRUE
171107,12,8,475,9.5,28.13316,1.24432,2,0,short,0.130981053,TRUE
171107,13,8,469,18,48.29132,0,2.5,0,long,0,FALSE
171107,13,8,471,9.5,25.3418,3.54728,2.5,-22.94952,short,0.373397895,FALSE
171107,0,9,465,9.5,23.26676,5.01732,3,-43.74832,short,0.528138947,FALSE
171107,0,9,467,9.5,67.01508,0.44,3,0,long,0.046315789,FALSE
171107,2,9,461,18,26.1998,0,2,-4.81624,short,0,TRUE
171107,2,9,463,9.5,31.01604,1.39128,2,0,short,0.146450526,TRUE
171107,3,9,457,9.5,65.33252,0.62216,3,0,long,0.065490526,FALSE
171107,3,9,459,9.5,12.56596,2.95152,3,-52.76656,short,0.310686316,FALSE
171107,6,9,453,9.5,15.90644,5.28,2,0,short,0.555789474,FALSE
171107,6,9,455,9.5,15.32696,5.29848,2,-0.57948,short,0.557734737,FALSE
171107,7,9,449,9.5,38.54048,2.3694,2.5,0,long,0.249410526,FALSE
171107,7,9,451,9.5,18.23712,1.39128,2.5,-20.30336,short,0.146450526,FALSE
171107,8,9,445,9.5,40.59792,2.99156,2.5,0,long,0.314901053,FALSE
171107,8,9,447,9.5,28.9036,4.8092,2.5,-11.69432,short,0.506231579,FALSE
171107,10,9,441,9.5,34.7402,3.78488,2.5,0,long,0.398408421,FALSE
171107,10,9,443,9.5,16.55984,1.81412,2.5,-18.18036,short,0.19096,FALSE
171107,12,9,437,1.5,33.0616,0,2,0,short,0,TRUE
