,date,neuron,0,max_time,min_diff,number_neurites,nb_neurites_slower,MTRF_column,time_slowdown,axon_growth_time,time_slowdown_diff
12,190820,15,254.0,835.0,0.3,4,0,MT-RF_smooth_200,134.0,348,-3.566666666666667
13,190823,1,2877.0,2914.0,0.3,5,0,MT-RF_smooth_200,2757.0,379,39.63333333333333
14,190823,3,1036.0,2910.0,0.3,9,0,MT-RF_smooth_200,916.0,1900,-16.4
15,190823,12,1266.0,2435.0,0.3,6,0,MT-RF_smooth_200,1146.0,1130,0.26666666666666666
16,190823,15,1073.0,2920.0,0.3,4,0,MT-RF_smooth_200,953.0,1686,-12.216666666666667
0,190712,19,99999.0,1258.0,0.3,4,0,MT-RF_neg_smooth_60,99879.0,973,1648.4333333333334
1,190719,7,1030.0,1238.0,0.3,6,0,MT-RF_neg_smooth_60,910.0,238,11.2
2,190719,11,341.0,434.0,0.3,6,0,MT-RF_neg_smooth_60,221.0,100,2.0166666666666666
3,190723,2,99999.0,1887.0,0.3,4,0,MT-RF_neg_smooth_60,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1086.0,0.3,4,0,MT-RF_neg_smooth_60,99879.0,472,1656.7833333333333
5,190726,7,205.0,787.0,0.3,3,0,MT-RF_neg_smooth_60,85.0,138,-0.8833333333333333
6,190730,3,99999.0,1518.0,0.3,4,0,MT-RF_neg_smooth_60,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1459.0,0.3,4,0,MT-RF_neg_smooth_60,99879.0,0,1664.65
8,190802,5,482.0,1109.0,0.3,4,0,MT-RF_neg_smooth_60,362.0,407,-0.75
9,190802,9,187.0,758.0,0.3,4,0,MT-RF_neg_smooth_60,67.0,165,-1.6333333333333333
10,190802,10,99999.0,1394.0,0.3,4,0,MT-RF_neg_smooth_60,99879.0,200,1661.3166666666666
11,190806,10,1178.0,1450.0,0.3,5,0,MT-RF_neg_smooth_60,1058.0,409,10.816666666666666
12,190820,15,645.0,918.0,0.3,5,0,MT-RF_neg_smooth_60,525.0,348,2.95
13,190823,1,1222.0,2989.0,0.3,5,0,MT-RF_neg_smooth_60,1102.0,379,12.05
14,190823,3,1339.0,2980.0,0.3,9,0,MT-RF_neg_smooth_60,1219.0,1900,-11.35
15,190823,12,1533.0,2527.0,0.3,6,0,MT-RF_neg_smooth_60,1413.0,1130,4.716666666666667
16,190823,15,99999.0,2990.0,0.3,4,0,MT-RF_neg_smooth_60,99879.0,1686,1636.55
0,190712,19,1041.0,1188.0,0.1,5,1,MT-RF_neg_smooth_200,921.0,973,-0.8666666666666667
1,190719,7,254.0,1164.0,0.1,6,1,MT-RF_neg_smooth_200,134.0,238,-1.7333333333333334
2,190719,11,224.0,364.0,0.1,5,1,MT-RF_neg_smooth_200,104.0,100,0.06666666666666667
3,190723,2,1486.0,1816.0,0.1,4,1,MT-RF_neg_smooth_200,1366.0,713,10.883333333333333
4,190723,6,640.0,1012.0,0.1,4,1,MT-RF_neg_smooth_200,520.0,472,0.8
5,190726,7,240.0,702.0,0.1,3,1,MT-RF_neg_smooth_200,120.0,138,-0.3
6,190730,3,99999.0,1435.0,0.1,4,1,MT-RF_neg_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1353.0,0.1,4,1,MT-RF_neg_smooth_200,99879.0,0,1664.65
8,190802,5,246.0,1009.0,0.1,4,1,MT-RF_neg_smooth_200,126.0,407,-4.683333333333334
9,190802,9,282.0,682.0,0.1,4,1,MT-RF_neg_smooth_200,162.0,165,-0.05
10,190802,10,99999.0,1259.0,0.1,4,1,MT-RF_neg_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,535.0,1362.0,0.1,6,1,MT-RF_neg_smooth_200,415.0,409,0.1
12,190820,15,528.0,827.0,0.1,5,1,MT-RF_neg_smooth_200,408.0,348,1.0
13,190823,1,885.0,2904.0,0.1,5,1,MT-RF_neg_smooth_200,765.0,379,6.433333333333334
14,190823,3,594.0,2909.0,0.1,9,1,MT-RF_neg_smooth_200,474.0,1900,-23.766666666666666
15,190823,12,1098.0,2435.0,0.1,6,1,MT-RF_neg_smooth_200,978.0,1130,-2.533333333333333
16,190823,15,1495.0,2920.0,0.1,4,1,MT-RF_neg_smooth_200,1375.0,1686,-5.183333333333334
0,190712,19,981.0,1188.0,0.1,5,1,MT-RF_smooth_200,861.0,973,-1.8666666666666667
1,190719,7,478.0,1164.0,0.1,6,1,MT-RF_smooth_200,358.0,238,2.0
2,190719,11,224.0,364.0,0.1,6,1,MT-RF_smooth_200,104.0,100,0.06666666666666667
3,190723,2,99999.0,1816.0,0.1,4,1,MT-RF_smooth_200,99879.0,713,1652.7666666666667
4,190723,6,867.0,1012.0,0.1,4,1,MT-RF_smooth_200,747.0,472,4.583333333333333
5,190726,7,240.0,702.0,0.1,3,1,MT-RF_smooth_200,120.0,138,-0.3
6,190730,3,99999.0,1435.0,0.1,3,1,MT-RF_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1353.0,0.1,4,1,MT-RF_smooth_200,99879.0,0,1664.65
8,190802,5,246.0,1009.0,0.1,4,1,MT-RF_smooth_200,126.0,407,-4.683333333333334
9,190802,9,282.0,682.0,0.1,4,1,MT-RF_smooth_200,162.0,165,-0.05
10,190802,10,99999.0,1259.0,0.1,4,1,MT-RF_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,535.0,1362.0,0.1,6,1,MT-RF_smooth_200,415.0,409,0.1
12,190820,15,256.0,827.0,0.1,5,1,MT-RF_smooth_200,136.0,348,-3.533333333333333
13,190823,1,735.0,2904.0,0.1,5,1,MT-RF_smooth_200,615.0,379,3.933333333333333
14,190823,3,596.0,2909.0,0.1,9,1,MT-RF_smooth_200,476.0,1900,-23.733333333333334
15,190823,12,1066.0,2435.0,0.1,6,1,MT-RF_smooth_200,946.0,1130,-3.066666666666667
16,190823,15,1001.0,2920.0,0.1,4,1,MT-RF_smooth_200,881.0,1686,-13.416666666666666
0,190712,19,1040.0,1258.0,0.1,5,1,MT-RF_neg_smooth_60,920.0,973,-0.8833333333333333
1,190719,7,219.0,1237.0,0.1,6,1,MT-RF_neg_smooth_60,99.0,238,-2.316666666666667
2,190719,11,253.0,434.0,0.1,6,1,MT-RF_neg_smooth_60,133.0,100,0.55
3,190723,2,1465.0,1887.0,0.1,4,1,MT-RF_neg_smooth_60,1345.0,713,10.533333333333333
4,190723,6,646.0,1084.0,0.1,4,1,MT-RF_neg_smooth_60,526.0,472,0.9
5,190726,7,164.0,783.0,0.1,3,1,MT-RF_neg_smooth_60,44.0,138,-1.5666666666666667
6,190730,3,99999.0,1506.0,0.1,4,1,MT-RF_neg_smooth_60,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1453.0,0.1,4,1,MT-RF_neg_smooth_60,99879.0,0,1664.65
8,190802,5,226.0,1102.0,0.1,4,1,MT-RF_neg_smooth_60,106.0,407,-5.016666666666667
9,190802,9,215.0,756.0,0.1,4,1,MT-RF_neg_smooth_60,95.0,165,-1.1666666666666667
10,190802,10,99999.0,1381.0,0.1,4,1,MT-RF_neg_smooth_60,99879.0,200,1661.3166666666666
11,190806,10,338.0,1448.0,0.1,6,1,MT-RF_neg_smooth_60,218.0,409,-3.183333333333333
12,190820,15,567.0,907.0,0.1,5,1,MT-RF_neg_smooth_60,447.0,348,1.65
13,190823,1,921.0,2986.0,0.1,5,1,MT-RF_neg_smooth_60,801.0,379,7.033333333333333
14,190823,3,773.0,2980.0,0.1,9,1,MT-RF_neg_smooth_60,653.0,1900,-20.783333333333335
15,190823,12,1151.0,2523.0,0.1,6,1,MT-RF_neg_smooth_60,1031.0,1130,-1.65
16,190823,15,1455.0,2990.0,0.1,4,1,MT-RF_neg_smooth_60,1335.0,1686,-5.85
0,190712,19,1049.0,1188.0,0.2,5,1,MT-RF_neg_smooth_200,929.0,973,-0.7333333333333333
1,190719,7,259.0,1164.0,0.2,6,1,MT-RF_neg_smooth_200,139.0,238,-1.65
2,190719,11,224.0,364.0,0.2,5,1,MT-RF_neg_smooth_200,104.0,100,0.06666666666666667
3,190723,2,1497.0,1816.0,0.2,4,1,MT-RF_neg_smooth_200,1377.0,713,11.066666666666666
4,190723,6,99999.0,1012.0,0.2,4,1,MT-RF_neg_smooth_200,99879.0,472,1656.7833333333333
5,190726,7,240.0,702.0,0.2,3,1,MT-RF_neg_smooth_200,120.0,138,-0.3
6,190730,3,99999.0,1435.0,0.2,4,1,MT-RF_neg_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1353.0,0.2,4,1,MT-RF_neg_smooth_200,99879.0,0,1664.65
8,190802,5,246.0,1009.0,0.2,4,1,MT-RF_neg_smooth_200,126.0,407,-4.683333333333334
9,190802,9,282.0,682.0,0.2,4,1,MT-RF_neg_smooth_200,162.0,165,-0.05
10,190802,10,99999.0,1259.0,0.2,4,1,MT-RF_neg_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,535.0,1362.0,0.2,6,1,MT-RF_neg_smooth_200,415.0,409,0.1
12,190820,15,558.0,827.0,0.2,5,1,MT-RF_neg_smooth_200,438.0,348,1.5
13,190823,1,904.0,2904.0,0.2,5,1,MT-RF_neg_smooth_200,784.0,379,6.75
14,190823,3,594.0,2909.0,0.2,9,1,MT-RF_neg_smooth_200,474.0,1900,-23.766666666666666
15,190823,12,1150.0,2435.0,0.2,6,1,MT-RF_neg_smooth_200,1030.0,1130,-1.6666666666666667
16,190823,15,1612.0,2920.0,0.2,4,1,MT-RF_neg_smooth_200,1492.0,1686,-3.2333333333333334
0,190712,19,1013.0,1188.0,0.2,5,1,MT-RF_smooth_200,893.0,973,-1.3333333333333333
1,190719,7,796.0,1164.0,0.2,6,1,MT-RF_smooth_200,676.0,238,7.3
2,190719,11,224.0,364.0,0.2,6,1,MT-RF_smooth_200,104.0,100,0.06666666666666667
3,190723,2,99999.0,1816.0,0.2,4,1,MT-RF_smooth_200,99879.0,713,1652.7666666666667
4,190723,6,898.0,1012.0,0.2,4,1,MT-RF_smooth_200,778.0,472,5.1
5,190726,7,240.0,702.0,0.2,3,1,MT-RF_smooth_200,120.0,138,-0.3
6,190730,3,99999.0,1435.0,0.2,3,1,MT-RF_smooth_200,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1353.0,0.2,4,1,MT-RF_smooth_200,99879.0,0,1664.65
8,190802,5,246.0,1009.0,0.2,4,1,MT-RF_smooth_200,126.0,407,-4.683333333333334
9,190802,9,282.0,682.0,0.2,4,1,MT-RF_smooth_200,162.0,165,-0.05
10,190802,10,99999.0,1259.0,0.2,4,1,MT-RF_smooth_200,99879.0,200,1661.3166666666666
11,190806,10,535.0,1362.0,0.2,6,1,MT-RF_smooth_200,415.0,409,0.1
12,190820,15,256.0,827.0,0.2,5,1,MT-RF_smooth_200,136.0,348,-3.533333333333333
13,190823,1,806.0,2904.0,0.2,5,1,MT-RF_smooth_200,686.0,379,5.116666666666666
14,190823,3,643.0,2909.0,0.2,9,1,MT-RF_smooth_200,523.0,1900,-22.95
15,190823,12,1222.0,2435.0,0.2,6,1,MT-RF_smooth_200,1102.0,1130,-0.4666666666666667
16,190823,15,1020.0,2920.0,0.2,4,1,MT-RF_smooth_200,900.0,1686,-13.1
0,190712,19,1042.0,1258.0,0.2,5,1,MT-RF_neg_smooth_60,922.0,973,-0.85
1,190719,7,546.0,1237.0,0.2,6,1,MT-RF_neg_smooth_60,426.0,238,3.1333333333333333
2,190719,11,259.0,434.0,0.2,6,1,MT-RF_neg_smooth_60,139.0,100,0.65
3,190723,2,99999.0,1887.0,0.2,4,1,MT-RF_neg_smooth_60,99879.0,713,1652.7666666666667
4,190723,6,655.0,1084.0,0.2,4,1,MT-RF_neg_smooth_60,535.0,472,1.05
5,190726,7,164.0,783.0,0.2,3,1,MT-RF_neg_smooth_60,44.0,138,-1.5666666666666667
6,190730,3,99999.0,1506.0,0.2,4,1,MT-RF_neg_smooth_60,99879.0,89,1663.1666666666667
7,190730,11,99999.0,1453.0,0.2,4,1,MT-RF_neg_smooth_60,99879.0,0,1664.65
8,190802,5,229.0,1102.0,0.2,4,1,MT-RF_neg_smooth_60,109.0,407,-4.966666666666667
9,190802,9,215.0,756.0,0.2,4,1,MT-RF_neg_smooth_60,95.0,165,-1.1666666666666667
10,190802,10,99999.0,1381.0,0.2,4,1,MT-RF_neg_smooth_60,99879.0,200,1661.3166666666666
11,190806,10,362.0,1448.0,0.2,6,1,MT-RF_neg_smooth_60,242.0,409,-2.783333333333333
12,190820,15,567.0,907.0,0.2,5,1,MT-RF_neg_smooth_60,447.0,348,1.65
13,190823,1,935.0,2986.0,0.2,5,1,MT-RF_neg_smooth_60,815.0,379,7.266666666666667
14,190823,3,773.0,2980.0,0.2,9,1,MT-RF_neg_smooth_60,653.0,1900,-20.783333333333335
15,190823,12,1185.0,2523.0,0.2,6,1,MT-RF_neg_smooth_60,1065.0,1130,-1.0833333333333333
16,190823,15,1487.0,2990.0,0.2,4,1,MT-RF_neg_smooth_60,1367.0,1686,-5.316666666666666
0,190712,19,1053.0,1188.0,0.3,5,1,MT-RF_neg_smooth_200,933.0,973,-0.6666666666666666
1,190719,7,480.0,1164.0,0.3,6,1,MT-RF_neg_smooth_200,360.0,238,2.033333333333333
2,190719,11,224.0,364.0,0.3,5,1,MT-RF_neg_smooth_200,104.0,100,0.06666666666666667
3,190723,2,99999.0,1816.0,0.3,4,1,MT-RF_neg_smooth_200,99879.0,713,1652.7666666666667
4,190723,6,99999.0,1012.0,0.3,4,1,MT-RF_neg_smooth_200,99879.0,472,1656.7833333333333
5,190726,7,240.0,702.0,0.3,3,1,MT-RF_neg_smooth_200,120.0,138,-0.3
6,190730,3,99999.0,1435.0,0.3,4,1,MT-RF_neg_smooth_200,99879.0,89,1663.1666666666667
