date,neuron,type,neurite,manipulation,Unnamed: 0,time,length,intensity,intensity_distal,intensity_proximal,out_of_frame,frame,kymograph,experiment,length_um,growth_rate,rel_intensity
220421,9,dendrite,1,between,216,324.0,174.0,2001.111111111111,443.25,4408.434782608696,False,216,160,2,57.42,0.1539999999999679,0.26772015232363167
220421,9,dendrite,1,out_of_bounds,415,622.5,197.0,277.80838323353294,7.6875,1131.0869565217392,True,415,160,2,65.01,2.353999999999843,0.03716680311407937
220421,9,dendrite,2,before,16,24.0,253.0,8008.757847533632,844.125,14403.130434782608,False,16,161,2,83.49000000000001,0.0220000000000008,1.050882641818015
220421,9,dendrite,2,between,216,324.0,59.0,945.0689655172414,31.0625,987.695652173913,False,216,161,2,19.47,-1.0559999999998884,0.12400881511092617
220421,9,dendrite,2,out_of_bounds,416,624.0,297.0,35.01498127340824,0.0,18.565217391304348,True,416,161,2,98.01,6.335999999999815,0.004594549707248225
220421,10,axon,0,before,16,24.0,240.0,4047.019047619048,1309.5,8411.652173913044,False,16,155,2,79.2,-1.561999999999993,1.0939356739550525
220421,10,axon,0,between,216,324.0,203.0,3633.739884393064,2075.4375,4199.086956521739,False,216,155,2,66.99000000000001,-0.0220000000000008,0.9822236175907076
220421,10,axon,0,out_of_bounds,415,622.5,302.0,3291.952205882353,0.0,6303.95652173913,True,415,155,2,99.66,2.177999999999884,0.8898361763551351
220421,10,dendrite,1,before,16,24.0,157.0,2864.8661417322837,181.375,4422.782608695652,False,16,156,2,51.81,4.736951571734001e-15,0.9821035458260658
220421,10,dendrite,1,between,216,324.0,118.0,1921.784090909091,587.625,2842.5652173913045,False,216,156,2,38.940000000000005,-0.2419999999999428,0.6588059883498437
220421,10,dendrite,1,out_of_bounds,415,622.5,212.0,164.21428571428572,4.0,624.7826086956521,True,415,156,2,69.96000000000001,2.0680000000000263,0.05629422957184907
220421,10,dendrite,2,before,16,24.0,144.0,2729.8596491228072,269.375,4067.521739130435,False,16,157,2,47.52,-0.0660000000000072,1.0128373195967213
220421,10,dendrite,2,between,216,324.0,144.0,1591.491228070175,414.5625,2493.8695652173915,False,216,157,2,47.52,0.0879999999999796,0.5904778694825037
220421,10,dendrite,2,out_of_bounds,415,622.5,197.0,1119.7065868263471,11.1875,1892.5652173913045,True,415,157,2,65.01,1.011999999999773,0.41543550361660825
220421,11,axon,0,before,16,24.0,374.0,1100.8808139534883,476.625,1624.4347826086955,False,16,145,2,123.42,-0.2640000000000005,0.8998803296618886
220421,11,axon,0,between,216,324.0,311.0,1675.5836298932384,1234.6875,1510.7391304347825,False,216,145,2,102.63,-0.0660000000001067,1.3696530361261217
220421,11,axon,0,out_of_bounds,415,622.5,380.0,1680.7085714285715,0.0,2016.608695652174,True,415,145,2,125.4,1.6060000000002503,1.373842258083539
220421,11,dendrite,1,before,16,24.0,216.0,1961.8225806451608,268.1875,4921.478260869565,False,16,146,2,71.28,0.0879999999999938,0.8349490023206224
220421,11,dendrite,1,between,216,324.0,189.0,621.5345911949686,545.625,621.5652173913044,False,216,146,2,62.370000000000005,-0.021999999999996,0.26452427041355303
220421,11,dendrite,1,out_of_bounds,415,622.5,281.0,351.0756972111554,0.0,869.5217391304348,True,415,146,2,92.73,2.1339999999998915,0.1494173357047776
220421,11,dendrite,2,before,16,24.0,263.0,1936.480686695279,157.25,3108.3478260869565,False,16,147,2,86.79,-0.4840000000000088,0.9036913536855486
220421,11,dendrite,2,between,216,324.0,168.0,1093.4855072463768,196.8125,3065.7391304347825,False,216,147,2,55.440000000000005,0.3960000000000339,0.5102934437034766
220421,11,dendrite,2,out_of_bounds,415,622.5,363.0,314.9429429429429,0.0,2052.1304347826085,True,415,147,2,119.79,4.796000000000158,0.14697343298968027
220421,13,axon,0,before,16,24.0,165.0,4994.059259259259,4319.0625,6162.04347826087,True,16,140,2,54.45,0.0,1.0373034952554225
220421,13,axon,0,between,216,324.0,165.0,3849.748148148148,3713.6875,4541.347826086957,True,216,140,2,54.45,0.0,0.7996215108027126
220421,13,axon,0,out_of_bounds,414,621.0,165.0,4560.814814814815,3946.375,5594.04347826087,True,414,140,2,54.45,0.0,0.9473153807393618
220421,13,dendrite,1,before,16,24.0,126.0,2322.96875,995.9375,4302.434782608696,False,16,141,2,41.580000000000005,-0.0440000000000016,1.12752483646159
220421,13,dendrite,1,between,216,324.0,105.0,1185.013333333333,342.8125,2400.4347826086955,False,216,141,2,34.65,-0.2640000000000005,0.5751829269642436
220421,13,dendrite,1,out_of_bounds,414,621.0,153.0,401.9430894308943,5.125,1267.0,True,414,141,2,50.49,1.0340000000000156,0.19509552858919663
220421,13,dendrite,2,before,16,24.0,159.0,2658.6744186046512,1218.125,3978.652173913044,False,16,142,2,52.470000000000006,0.0,1.1031029314322953
220421,13,dendrite,2,between,216,324.0,159.0,1141.6744186046512,325.8125,1971.0869565217392,False,216,142,2,52.470000000000006,-0.0659999999999835,0.47368883872776474
220421,13,dendrite,2,out_of_bounds,414,621.0,212.0,240.32417582417585,0.75,1021.8695652173913,True,414,142,2,69.96000000000001,2.683999999999893,0.09971221033707169
220421,15,axon,0,before,16,24.0,1.0,,,0.0,False,16,131,2,0.33,0.0,
220421,15,axon,0,between,216,324.0,1.0,,,0.0,False,216,131,2,0.33,0.0,
220421,15,axon,0,out_of_bounds,414,621.0,261.0,6.190476190476191,0.375,2.4347826086956523,True,414,131,2,86.13000000000001,5.719999999999999,
220421,15,dendrite,1,before,16,24.0,181.0,94.59602649006622,782.5,9.08695652173913,True,16,132,2,59.73,0.0,1.0799123005972633
220421,15,dendrite,1,between,216,324.0,181.0,78.25827814569537,681.1875,4.782608695652174,True,216,132,2,59.73,0.0,0.89339986391472
220421,15,dendrite,1,out_of_bounds,414,621.0,181.0,76.78807947019868,657.9375,5.565217391304348,True,414,132,2,59.73,0.0,0.8766160127012929
220421,15,dendrite,2,before,16,24.0,1.0,,,0.0,False,16,133,2,0.33,0.0,
220421,15,dendrite,2,between,216,324.0,1.0,,,0.0,False,216,133,2,0.33,0.0,
220421,15,dendrite,2,out_of_bounds,414,621.0,181.0,8.556291390728477,8.125,13.652173913043478,True,414,133,2,59.73,3.960000000000001,
220421,15,dendrite,4,before,16,24.0,164.0,4011.365671641791,3024.875,5182.434782608696,True,16,135,2,54.120000000000005,-9.473903143468002e-15,1.0228942482025185
220421,15,dendrite,4,between,216,324.0,137.0,2864.355140186916,1845.8125,3366.478260869565,False,216,135,2,45.21,-0.0220000000001192,0.7304077058891861
220421,15,dendrite,4,out_of_bounds,414,621.0,164.0,2564.597014925373,0.0,3610.0,True,414,135,2,54.120000000000005,0.5939999999999893,0.6539696827117811
220421,15,dendrite,5,before,16,24.0,143.0,1363.725663716814,368.1875,2100.391304347826,False,16,136,2,47.190000000000005,0.0,1.0271367291841282
220421,15,dendrite,5,between,216,324.0,85.0,378.3454545454546,279.6875,423.82608695652175,False,216,136,2,28.05,-0.0219999999999937,0.2849638479518988
220421,15,dendrite,5,out_of_bounds,414,621.0,191.0,38.4472049689441,8.6875,169.3913043478261,True,414,136,2,63.03,3.168000000000028,0.028957830309097602
220421,15,dendrite,6,before,16,24.0,103.0,871.9041095890411,355.875,1287.391304347826,False,16,137,2,33.99,0.021999999999996,0.8885882342785012
220421,15,dendrite,6,between,216,324.0,39.0,231.22222222222223,237.625,0.0,False,216,137,2,12.87,0.0219999999999949,0.2356467229719066
220421,15,dendrite,6,out_of_bounds,414,621.0,140.0,18.25454545454545,8.3125,18.17391304347826,True,414,137,2,46.2,2.639999999999963,0.018603851197187958
220502,0,axon,0,before,24,36.0,1.0,,,0.0,False,24,127,2,0.33,0.0,
220502,0,axon,0,between,65,97.5,247.0,13.33179723502304,1.25,53.56521739130435,True,65,127,2,81.51,5.412,
220502,0,dendrite,1,before,24,36.0,1.0,,,0.0,False,24,128,2,0.33,0.0,
220502,0,dendrite,1,between,65,97.5,294.0,4.0,7.875,6.0,True,65,128,2,97.02,6.446000000000001,
220502,0,dendrite,2,before,24,36.0,8.0,,,0.0,False,24,129,2,2.64,0.0,
220502,0,dendrite,2,between,65,97.5,279.0,7.662650602409639,11.75,25.608695652173918,True,65,129,2,92.07,5.962,
220502,1,axon,0,before,24,36.0,1.0,,,0.0,False,24,117,2,0.33,0.0,
220502,1,axon,0,between,65,97.5,133.0,5.825242718446602,5.4375,9.043478260869565,True,65,117,2,43.89,2.904,
220502,1,dendrite,1,before,24,36.0,136.0,537.188679245283,3162.4375,14.521739130434783,False,24,118,2,44.88,0.0220000000000008,1.005366508744699
220502,1,dendrite,1,between,65,97.5,458.0,309.77570093457945,0.0,7.6521739130434785,True,65,118,2,151.14,6.841999999999975,0.5797555439554153
220502,3,axon,0,before,24,36.0,545.0,3606.24854368932,2844.25,2860.304347826087,True,24,112,2,179.85,3.7895612573872014e-14,1.1185380129550282
220502,3,axon,0,between,65,97.5,545.0,3131.9766990291264,0.0,4969.565217391304,True,65,112,2,179.85,0.2860000000000582,0.9714347059311542
220502,4,axon,0,before,24,36.0,230.0,1918.425,1080.875,2564.7391304347825,True,24,108,2,75.9,0.0,1.0747606939298298
220502,4,axon,0,between,65,97.5,230.0,2091.835,1052.5,3246.391304347826,True,65,108,2,75.9,0.0,1.1719103098566301
220502,4,dendrite,1,before,24,36.0,339.0,4373.2071197411005,685.5,9996.95652173913,False,24,109,2,111.87,0.1980000000000169,1.0184051689586069
220502,4,dendrite,1,between,65,97.5,390.0,3180.1111111111118,1.0,6621.434782608696,True,65,109,2,128.70000000000002,1.034000000000011,0.7405644198278876
220502,4,dendrite,2,before,24,36.0,241.0,2654.208530805687,678.0625,5673.608695652174,False,24,110,2,79.53,-0.0439999999999921,1.000396942171211
220502,4,dendrite,2,between,65,97.5,293.0,1897.041825095057,0.375,4521.217391304348,True,65,110,2,96.69,1.0559999999999452,0.7150134659615124
220502,5,axon,0,before,24,36.0,306.0,1951.6521739130435,1068.375,3872.130434782609,True,24,104,2,100.98,0.0,1.0131302017209762
220502,5,axon,0,between,65,97.5,306.0,2154.8695652173915,1100.75,4417.347826086957,True,65,104,2,100.98,0.0,1.1186232190718015
220502,5,dendrite,1,before,24,36.0,201.0,1467.508771929825,416.9375,2096.478260869565,False,24,105,2,66.33,0.0,0.8924143415134321
220502,5,dendrite,1,between,65,97.5,252.0,1070.7972972972973,4.5,2058.1739130434785,True,65,105,2,83.16000000000001,1.078000000000003,0.6511680769753014
220502,5,dendrite,2,before,24,36.0,183.0,1363.4117647058824,260.5625,2947.3478260869565,False,24,106,2,60.39,0.0440000000000016,1.050658796035136
220502,5,dendrite,2,between,65,97.5,238.0,872.8653846153846,1.0,2557.913043478261,True,65,106,2,78.54,1.0119999999999816,0.6726388299125325
220502,6,axon,0,before,24,36.0,234.0,8046.769607843137,6170.5625,12476.95652173913,True,24,97,2,77.22,-1.8947806286936004e-14,0.9922815240616214
220502,6,axon,0,between,64,96.0,234.0,7459.176470588235,3178.375,11534.0,True,64,97,2,77.22,0.0660000000000119,0.9198229049910392
220502,6,dendrite,3,before,24,36.0,200.0,1299.3764705882354,233.25,3287.217391304348,False,24,100,2,66.0,0.1099999999999852,0.7451294928412829
220502,6,dendrite,3,between,64,96.0,212.0,481.3736263736264,0.3125,1570.7391304347825,True,64,100,2,69.96000000000001,0.9899999999999948,0.27604446763959817
220502,6,dendrite,4,before,24,36.0,243.0,2901.8028169014083,378.4375,4992.652173913043,True,24,101,2,80.19,0.0,0.9579741571497581
220502,6,dendrite,4,between,64,96.0,243.0,549.3568075117371,76.125,1956.1739130434785,True,64,101,2,80.19,0.9679999999999704,0.1813595402090406
220502,7,axon,0,before,24,36.0,180.0,9027.26,6913.25,9734.173913043478,True,24,91,2,59.400000000000006,0.0,1.0198474961245143
