date,neuron,type,neurite,manipulation,Unnamed: 0,origin,branch,kymograph,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,frame
220421,9,dendrite,1,out_of_bounds,163,0.5,0.5,138,262.5,-0.42,,1.0,,,,-0.42,,1.0,175.0
220421,9,dendrite,2,before,16,0.5,0.5,139,24.0,-0.0129411764705882,,1.0,,,,-0.0129411764705882,,1.0,16.0
220421,9,dendrite,2,early,95,0.5,0.5,139,144.0,-0.1353846153846153,,1.0,0.0611111111111111,,1.0,-0.1353846153846153,,1.0,96.0
220421,9,dendrite,2,out_of_bounds,123,0.5,0.5,139,204.0,-0.24,,1.0,,,,-0.24,,1.0,136.0
220421,10,axon,0,before,16,0.5,0.5,133,24.0,0.0,,1.0,,,,-0.01375,,1.0,16.0
220421,10,axon,0,early,73,0.5,0.5,133,109.5,0.0,,1.0,,,,,,,73.0
220421,10,dendrite,1,before,11,0.5,0.5,134,21.0,0.0183333333333333,,1.0,0.0183333333333333,,1.0,,,,14.0
220421,10,dendrite,1,early,67,0.5,0.5,134,112.5,-0.0253846153846153,,1.0,,,,-0.0253846153846153,,1.0,75.0
220421,10,dendrite,2,before,13,0.5,0.5,135,21.0,-0.0314285714285714,,1.0,,,,-0.0314285714285714,,1.0,14.0
220421,10,dendrite,2,early,85,0.5,0.5,135,144.0,-0.1780952380952381,,1.0,0.1052173913043478,,1.0,-0.1780952380952381,,1.0,96.0
220421,10,dendrite,2,out_of_bounds,117,0.5,0.5,135,196.5,-0.275,,1.0,,,,-0.275,,1.0,131.0
220421,11,axon,0,before,14,0.5,0.5,123,24.0,0.44,,1.0,0.44,,1.0,-0.0314285714285714,,1.0,16.0
220421,11,axon,0,early,77,0.5,0.5,123,127.5,0.77,,1.0,0.77,,1.0,,,,85.0
220421,11,dendrite,1,before,10,0.5,0.5,124,15.0,-0.06,,1.0,,,,-0.06,,1.0,10.0
220421,11,dendrite,1,early,48,0.5,0.5,124,81.0,-0.22,,1.0,,,,-0.22,,1.0,54.0
220421,11,dendrite,2,before,15,0.5,0.5,125,24.0,-0.1026666666666666,,1.0,,,,-0.1026666666666666,,1.0,16.0
220421,11,dendrite,2,early,59,0.5,0.5,125,91.5,-0.2933333333333333,,1.0,,,,-0.2933333333333333,,1.0,61.0
220421,13,axon,0,before,14,0.5,0.5,118,24.0,0.0095652173913043,,1.0,0.0095652173913043,,1.0,-0.0471428571428571,,1.0,16.0
220421,13,axon,0,early,88,0.5,0.5,118,138.0,-0.0634615384615384,,1.0,0.0095652173913043,,1.0,-0.0634615384615384,,1.0,92.0
220421,13,dendrite,1,before,15,0.5,0.5,119,24.0,-0.0385,,1.0,,,,-0.0385,,1.0,16.0
220421,13,dendrite,1,early,94,0.5,0.5,119,142.5,-0.0385,,1.0,,,,-0.0385,,1.0,95.0
220421,13,dendrite,2,before,15,0.5,0.5,120,22.5,0.0275,,1.0,0.0275,,1.0,,,,15.0
220421,13,dendrite,2,early,95,0.5,0.5,120,144.0,-0.0050574712643678,,1.0,,,,-0.0050574712643678,,1.0,96.0
220421,13,dendrite,2,out_of_bounds,176,0.5,0.5,120,265.5,0.0118918918918918,,1.0,0.0118918918918918,,1.0,-0.0050574712643678,,1.0,177.0
220421,15,axon,0,before,12,0.5,0.5,113,19.5,0.0338461538461538,,1.0,0.0338461538461538,,1.0,,,,13.0
220421,15,axon,0,early,66,0.5,0.5,113,105.0,-0.0081481481481481,,1.0,,,,-0.0081481481481481,,1.0,70.0
220421,15,dendrite,1,before,13,0.5,0.5,114,24.0,-0.11,,1.0,0.0507692307692307,,1.0,-0.11,,1.0,16.0
220421,15,dendrite,1,early,30,0.5,0.5,114,49.5,-0.11,,1.0,,,,-0.11,,1.0,33.0
220421,15,dendrite,2,before,14,0.5,0.5,115,24.0,-0.077,,1.0,,,,-0.077,,1.0,16.0
220421,15,dendrite,2,early,68,0.5,0.5,115,115.5,-0.2077777777777777,,1.0,,,,-0.2077777777777777,,1.0,77.0
220502,0,axon,0,before,23,0.5,0.5,109,34.5,0.0183333333333333,,1.0,0.0183333333333333,,1.0,,,,23.0
220502,0,axon,0,early,64,0.5,0.5,109,97.5,-0.0160975609756097,,1.0,,,,-0.0160975609756097,,1.0,65.0
220502,0,dendrite,1,before,22,0.5,0.5,110,34.5,0.0,,1.0,,,,,,,23.0
220502,0,dendrite,1,early,59,0.5,0.5,110,97.5,-0.1523076923076923,,1.0,,,,-0.1523076923076923,,1.0,65.0
220502,0,dendrite,2,before,21,0.5,0.5,111,33.0,-0.03,,1.0,,,,-0.03,,1.0,22.0
220502,0,dendrite,2,early,50,0.5,0.5,111,81.0,-0.0303448275862068,,1.0,,,,-0.0303448275862068,,1.0,54.0
220502,1,axon,0,before,23,0.5,0.5,105,34.5,-0.0275,,1.0,,,,-0.0275,,1.0,23.0
220502,1,axon,0,early,60,0.5,0.5,105,96.0,0.352,,1.0,0.352,,1.0,-0.0275,,1.0,64.0
220502,1,dendrite,1,before,20,0.5,0.5,106,31.5,0.0419047619047619,,1.0,0.0419047619047619,,1.0,,,,21.0
220502,1,dendrite,1,early,59,0.5,0.5,106,96.0,-0.4738461538461538,,1.0,,,,-0.4738461538461538,,1.0,64.0
220502,1,dendrite,2,before,19,0.5,0.5,107,33.0,0.0,,1.0,,,,-0.0942857142857142,,1.0,22.0
220502,1,dendrite,2,early,56,0.5,0.5,107,93.0,-0.12,,1.0,,,,-0.12,,1.0,62.0
220502,3,axon,0,before,22,0.5,0.5,95,34.5,-0.0191304347826086,,1.0,,,,-0.0191304347826086,,1.0,23.0
220502,3,axon,0,early,60,0.5,0.5,95,96.0,-0.165,,1.0,0.1344444444444444,,1.0,-0.165,,1.0,64.0
220502,3,dendrite,1,before,22,0.5,0.5,96,34.5,0.0169230769230769,,1.0,0.0169230769230769,,1.0,-0.132,,1.0,23.0
220502,3,dendrite,1,early,52,0.5,0.5,96,82.5,-0.6233333333333334,,1.0,0.055,,1.0,-0.6233333333333334,,1.0,55.0
220502,3,dendrite,2,before,23,0.5,0.5,97,34.5,0.0458333333333333,,1.0,0.0458333333333333,,1.0,,,,23.0
220502,3,dendrite,2,early,53,0.5,0.5,97,84.0,-0.968,0.2800142853498729,1.0,,,,-0.968,0.2800142853498729,1.0,56.0
220502,4,axon,0,before,23,0.5,0.5,91,36.0,-0.0183333333333333,,1.0,,,,-0.0183333333333333,,1.0,24.0
220502,4,axon,0,early,63,0.5,0.5,91,97.5,0.0275,,1.0,0.0275,,1.0,,,,65.0
220502,4,dendrite,1,before,24,0.5,0.5,92,36.0,-0.0264,,1.0,,,,-0.0264,,1.0,24.0
