,date,neuron,Unnamed: 0,kymograph,frame,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,neurite,manipulation,condition
94,220429.0,1.0,4,393,40.0,60.0,-0.5238095238095238,,1.0,,,,-0.5238095238095238,,1.0,0,before,wt
95,220429.0,1.0,5,393,41.0,61.5,-0.5238095238095238,,1.0,,,,-0.5238095238095238,,1.0,0,before,wt
96,220429.0,1.0,16,391,5.0,7.5,-0.2933333333333333,0.0733333333333333,3.0,,,,-0.2933333333333333,0.0733333333333333,3.0,2,before,wt
97,220429.0,1.0,6,393,42.0,63.0,-0.5238095238095238,,1.0,,,,-0.5238095238095238,,1.0,0,before,wt
98,220429.0,1.0,8,393,66.0,99.0,-0.4819047619047619,,1.0,,,,-0.4819047619047619,,1.0,0,early,wt
99,220429.0,1.0,9,393,67.0,100.5,-0.4819047619047619,,1.0,,,,-0.4819047619047619,,1.0,0,early,wt
100,220429.0,1.0,10,393,68.0,102.0,-1.5557666666666667,,1.0,,,,-1.5557666666666667,,1.0,0,early,wt
101,220429.0,1.0,12,393,70.0,105.0,-0.4819047619047619,,1.0,,,,-0.4819047619047619,,1.0,0,early,wt
102,220429.0,1.0,13,393,71.0,106.5,-0.4819047619047619,,1.0,,,,-0.4819047619047619,,1.0,0,early,wt
103,220429.0,1.0,14,391,3.0,4.5,-0.2933333333333333,0.1037089945740269,2.0,,,,-0.2933333333333333,0.1037089945740269,2.0,2,before,wt
104,220429.0,1.0,7,393,65.0,97.5,-0.4819047619047619,,1.0,,,,-0.4819047619047619,,1.0,0,between,wt
105,220429.0,1.0,34,391,23.0,34.5,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
106,220429.0,1.0,35,391,24.0,36.0,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
