date,experiment,cell,kymograph,Unnamed: 0, ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,Angle,%Area,Slice,MinThr,MaxThr,Length,MTRF,length_difference
171110,2,cell0002,54,56,57,171110_TUBB2amEos_02_baseline_cell0002_Hyperstack_MTRF_kymograph-54.tif,19,459.789,119.388,364,796,14,1,6,17,-109.246,0,1,0,65535,18.451,-0.3105882352941176,16
171110,2,cell0002,53,75,76,171110_TUBB2amEos_02_baseline_cell0002_Hyperstack_MTRF_kymograph-53.tif,4,1077.75,255.427,786,1358,15,1,1,3,-106.557,0,1,0,65535,3.357,-0.2933333333333333,6
171201,1,cell0001,47,14,15,171201_TUBB2amEos_01_baseline_cell0001_Hyperstack_MTRF_kymograph-47.tif,16,350.875,93.655,264,543,16,1,6,13,-112.604,0,1,0,65535,14.513,-0.4061538461538462,-6
171201,1,cell0001,48,45,46,171201_TUBB2amEos_01_baseline_cell0001_Hyperstack_MTRF_kymograph-48.tif,8,570.5,204.909,412,1031,26,1,2,6,-111.584,0,1,0,65535,6.604,-0.2933333333333333,-2
171201,1,cell0002,45,18,19,171201_TUBB2amEos_01_baseline_cell0002_Hyperstack_MTRF_kymograph-45.tif,20,491.85,191.713,313,894,11,1,3,19,-97.765,0,1,0,65535,19.203,-0.1389473684210526,1
171201,1,cell0002,44,23,24,171201_TUBB2amEos_01_baseline_cell0002_Hyperstack_MTRF_kymograph-44.tif,20,526.9,94.851,434,752,11,1,3,18,-100.751,0,1,0,65535,18.671,-0.1466666666666666,1
171201,1,cell0006,39,39,40,171201_TUBB2amEos_01_baseline_cell0006_Hyperstack_MTRF_kymograph-39.tif,16,300.125,20.278,273,347,6,1,10,11,-132.495,0,1,0,65535,15.008,-0.7999999999999999,-6
171201,1,cell0006,38,60,61,171201_TUBB2amEos_01_baseline_cell0006_Hyperstack_MTRF_kymograph-38.tif,11,525.364,147.322,377,801,29,1,5,8,-123.563,0,1,0,65535,9.601,-0.55,1
171201,1,cell0007,36,41,42,171201_TUBB2amEos_01_baseline_cell0007_Hyperstack_MTRF_kymograph-36.tif,21,431.429,96.723,319,646,21,1,7,19,-110.489,0,1,0,65535,20.244,-0.3242105263157894,12
171201,1,cell0009,34,71,72,171201_TUBB2amEos_01_baseline_cell0009_Hyperstack_MTRF_kymograph-34.tif,14,357.214,69.298,289,505,37,1,2,13,-100.733,0,1,0,65535,13.126,-0.1353846153846153,2
171201,1,cell0009,33,74,75,171201_TUBB2amEos_01_baseline_cell0009_Hyperstack_MTRF_kymograph-33.tif,14,488.643,167.538,356,893,22,1,5,12,-112.153,0,1,0,65535,13.041,-0.3666666666666667,-2
171201,2,cell0001,31,49,50,171201_TUBB2amEos_02_baseline_cell0001_Hyperstack_MTRF_kymograph-31.tif,14,417.857,64.736,326,538,10,1,5,12,-111.578,0,1,0,65535,13.21,-0.3666666666666667,7
