,date,experiment,cell,kymograph,interval,time,region,tubb_mass,tubb_frac,time_speedup
0,220311,1,16,68,1,3,retrograde,15442,0.6929635612995871,before
0,220311,1,16,68,1,3,anterograde,1753,0.07866630766469215,before
0,220311,1,16,68,1,3,stationary,5089,0.2283701310357207,before
0,220311,1,16,68,2,4,retrograde,12101,0.9268535539215687,before
0,220311,1,16,68,2,4,anterograde,478,0.03661151960784314,before
0,220311,1,16,68,2,4,stationary,477,0.03653492647058824,before
0,220311,1,16,69,1,4,retrograde,4849,0.7955701394585726,before
0,220311,1,16,69,1,4,anterograde,990,0.162428219852338,before
0,220311,1,16,69,1,4,stationary,256,0.04200164068908942,before
0,220311,1,16,69,2,8,retrograde,10934,0.6714154129567086,before
0,220311,1,16,69,2,8,anterograde,2759,0.16941971139085046,before
0,220311,1,16,69,2,8,stationary,2592,0.1591648756524409,before
0,220315,1,3,63,0,4,retrograde,4210,0.14788015033896518,before
0,220315,1,3,63,0,4,anterograde,20343,0.7145667216972847,before
0,220315,1,3,63,0,4,stationary,3916,0.13755312796375005,before
0,220315,1,14,46,1,2,retrograde,23320,0.3436892059187644,before
0,220315,1,14,46,1,2,anterograde,25901,0.38172787832340976,before
0,220315,1,14,46,1,2,stationary,18631,0.27458291575782584,before
0,220315,1,18,37,1,3,retrograde,0,0.0,before
0,220315,1,18,37,1,3,anterograde,7923,0.4872094453326774,before
0,220315,1,18,37,1,3,stationary,8339,0.5127905546673226,before
0,220318,1,1,33,1,10,retrograde,57843,0.6266643554380681,before
0,220318,1,1,33,1,10,anterograde,23955,0.25952569255603825,before
0,220318,1,1,33,1,10,stationary,10505,0.11380995200589364,before
0,220318,1,6,31,1,6,retrograde,25075,0.8743636236836599,before
0,220318,1,6,31,1,6,anterograde,986,0.034381756049933744,before
0,220318,1,6,31,1,6,stationary,2617,0.09125462026640631,before
0,220318,1,8,27,0,15,retrograde,9673,0.618043575490384,before
0,220318,1,8,27,0,15,anterograde,3826,0.24445722318062743,before
0,220318,1,8,27,0,15,stationary,2152,0.13749920132898857,before
0,220318,1,8,27,1,4,retrograde,18972,0.898167873881551,before
0,220318,1,8,27,1,4,anterograde,1877,0.0888604838327889,before
0,220318,1,8,27,1,4,stationary,274,0.012971642285660182,before
0,220318,1,8,28,0,31,retrograde,15505,0.9024503812350853,before
0,220318,1,8,28,0,31,anterograde,828,0.04819277108433735,before
0,220318,1,8,28,0,31,stationary,848,0.04935684768057738,before
0,220318,1,8,28,1,5,retrograde,13031,0.8927788435187722,before
0,220318,1,8,28,1,5,anterograde,0,0.0,before
0,220318,1,8,28,1,5,stationary,1565,0.10722115648122774,before
0,220318,1,10,22,1,3,retrograde,3034,0.23512089274643522,before
0,220318,1,10,22,1,3,anterograde,218,0.01689398636081835,before
0,220318,1,10,22,1,3,stationary,9652,0.7479851208927464,before
